threshold_sequence_rank,download_priority_order,threshold_phase,threshold_download_role,in_minimum_threshold_batch,in_recommended_threshold_batch,in_full_refocused_queue,queue_role,country,wave,idno,survey_name,candidate_family,metadata_feasibility_score,metadata_requirement_score,official_get_microdata_url,register_url,terms_url,local_target_folder,official_expected_file_rows,official_expected_matched_rows,official_expected_missing_rows,official_core_file_rows,official_core_matched_rows,official_core_missing_rows,official_file_receipt_status,credentialed_acquisition_status,promoted_registry_status,raw_package_status,raw_value_verification_status,financial_protection_status,access_forgone_care_status,climate_linkage_status,analysis_ready_status,next_manual_action,post_download_validation_commands,promotion_stop_rule,handoff_readme
1,1,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_selected_lsms_isa_aligned,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,Socio-Economic Panel Survey 2021-2022,lsms_isa_socioeconomic_survey,5,7,https://microdata.worldbank.org/catalog/6161/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/,68,0,68,36,0,36,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/ETH_2021_ESPS-W5_v02_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
2,2,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,Socioeconomic Survey 2018-2019,lsms_isa_socioeconomic_survey,5,7,https://microdata.worldbank.org/catalog/3823/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/ETH_2018_ESS_v04_M/,68,0,68,35,0,35,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/ETH_2018_ESS_v04_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
3,3,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,Second Integrated Household Survey 2004-2005,lsms_isa_integrated_household_survey,5,7,https://microdata.worldbank.org/catalog/2307/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/MWI_2004_IHS-II_v01_M/,52,0,52,37,0,37,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/MWI_2004_IHS-II_v01_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
4,4,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,"General Household Survey, Panel  2012-2013, Wave 2",lsms_isa_general_household_panel,5,7,https://microdata.worldbank.org/catalog/1952/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/,103,0,103,26,0,26,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/NGA_2012_GHSP-W2_v02_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
5,5,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,"General Household Survey, Panel  2015-2016, Wave 3",lsms_isa_general_household_panel,5,7,https://microdata.worldbank.org/catalog/2734/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/,104,0,104,26,0,26,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/NGA_2015_GHSP-W3_v02_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
6,6,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,"General Household Survey, Panel 2010-2011, Wave 1",lsms_isa_general_household_panel,5,7,https://microdata.worldbank.org/catalog/1002/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/,99,0,99,27,0,27,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/NGA_2010_GHSP-W1_v03_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
7,7,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,"National Panel Survey 2008-2009, Wave 1",lsms_isa_national_panel_survey,2,1,https://microdata.worldbank.org/catalog/76/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/TZA_2008_NPS-R1_v03_M/,61,0,61,35,0,35,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/TZA_2008_NPS-R1_v03_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
8,8,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,"National Panel Survey 2010-2011, Wave 2",lsms_isa_national_panel_survey,5,7,https://microdata.worldbank.org/catalog/1050/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/TZA_2010_NPS-R2_v03_M/,95,0,95,38,0,38,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/TZA_2010_NPS-R2_v03_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
9,9,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,"National Panel Survey 2012-2013, Wave 3",lsms_isa_national_panel_survey,5,7,https://microdata.worldbank.org/catalog/2252/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/TZA_2012_NPS-R3_v01_M/,80,0,80,33,0,33,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/TZA_2012_NPS-R3_v01_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
10,10,phase_1_core_10_wave_double_failure_base,minimum_10_wave_core,1,1,1,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,National Panel Survey 2019-2020,lsms_isa_national_panel_survey,4,5,https://microdata.worldbank.org/catalog/3902/get-microdata,https://microdata.worldbank.org/auth/register,https://microdata.worldbank.org/terms-of-use,temp/raw_downloads/UGA_2019_UNPS_v03_M/,109,0,109,39,0,39,blocked_no_original_package,ready_for_credentialed_manual_download,not_promoted,blocked_no_original_package,blocked_not_raw_value_verified,blocked_consumption_oop_units_recall_not_verified,blocked_health_need_care_access_values_not_verified,blocked_timing_geography_or_chirps_era5_route_not_verified,not_promoted,"Download the complete unchanged official World Bank package and documentation, then place it in the target folder.",python script/17_audit_raw_downloads.py; python script/144_build_priority_lsms_isa_raw_package_intake_packet.py; python script/145_build_priority_lsms_isa_archive_member_preflight.py; python script/150_build_priority_lsms_isa_raw_package_receipt_checklist.py; python script/152_build_priority_lsms_isa_credentialed_raw_acquisition_workbench.py; python script/153_validate_priority_lsms_isa_official_file_receipt.py; python script/154_build_priority_lsms_isa_threshold_download_sequence.py; python script/155_build_priority_lsms_isa_minimum_batch_raw_intake_guide.py; python script/156_probe_priority_lsms_isa_minimum_batch_endpoint_refresh.py; python script/149_build_priority_lsms_isa_raw_value_verification_workbook.py; python script/132_build_priority_analysis_dataset_synthesis_blueprint.py; python script/148_build_priority_lsms_isa_country_wave_promotion_packets.py; python script/151_refresh_refocused_promoted_country_wave_registry.py; python script/127_enforce_promoted_data_gate.py; python script/36_build_direct_read_audit_bundle.py; python script/14_validate_workspace.py,"Do not write this country-wave into data/ until complete official file receipt, raw value verification, outcome construction, survey timing/geography, and accepted CHIRPS or ERA5 climate linkage all pass.",temp/raw_downloads/UGA_2019_UNPS_v03_M/_PRIORITY_LSMS_ISA_THRESHOLD_DOWNLOAD_SEQUENCE.md
